GeoUID,CD_Name,Province,Province_Name,Labour_Force,Top_Score,Top_Score_Normalized,Top_Metrics,IS,IS_score,MS,MS_score,FS,FS_score
1001,Division No.  1,10,Newfoundland and Labrador,138105,2,0.18,MS,1,0.18,2,0.027,1,0.00639608287542523
1002,Division No.  2,10,Newfoundland and Labrador,8355,4,0.38,IS,4,0.38,2,0.039,0,0.0
1003,Division No.  3,10,Newfoundland and Labrador,5865,5,0.83,IS,5,0.83,1,0.014,0,0.0
1004,Division No.  4,10,Newfoundland and Labrador,7370,1,0.22,IS+MS,1,0.22,1,0.013,0,0.0
1005,Division No.  5,10,Newfoundland and Labrador,18535,1,0.18,IS+MS+FS,1,0.18,1,0.012,1,0.0014375717705915952
1006,Division No.  6,10,Newfoundland and Labrador,16885,1,0.12,IS+MS,1,0.12,1,0.021,0,0.0
1007,Division No.  7,10,Newfoundland and Labrador,14075,3,0.35,IS,3,0.35,2,0.028,0,0.0
1008,Division No.  8,10,Newfoundland and Labrador,13525,2,0.3,IS+MS,2,0.3,2,0.049,0,0.0
1009,Division No.  9,10,Newfoundland and Labrador,6360,2,0.24,IS,2,0.24,1,0.02,0,0.0
1010,Division No. 10,10,Newfoundland and Labrador,13320,3,0.21,FS,1,0.21,1,0.02,3,0.06887266899808278
1011,Division No. 11,10,Newfoundland and Labrador,935,1,0.14,IS+MS,1,0.14,1,0.011,0,0.0
1101,Kings,11,Prince Edward Island,9430,2,0.31,IS,2,0.31,1,0.005,0,0.0
1102,Queens,11,Prince Edward Island,49295,1,0.18,IS+MS+FS,1,0.18,1,0.016,1,3.890729863376826e-05
1103,Prince,11,Prince Edward Island,24775,3,0.33,IS,3,0.33,2,0.028,1,0.00291050560676545
1201,Shelburne,12,Nova Scotia,6695,3,0.38,IS,3,0.38,2,0.044,0,0.0
1202,Yarmouth,12,Nova Scotia,12055,1,0.2,IS+MS,1,0.2,1,0.017,0,0.0
1203,Digby,12,Nova Scotia,7580,2,0.31,IS+MS,2,0.31,2,0.03,0,0.0
1204,Queens,12,Nova Scotia,4185,1,0.23,IS+MS,1,0.23,1,0.01,0,0.0
1205,Annapolis,12,Nova Scotia,9345,1,0.23,IS+MS,1,0.23,1,0.012,0,0.0
1206,Lunenburg,12,Nova Scotia,22230,1,0.2,IS+MS+FS,1,0.2,1,0.018,1,0.0005065924818609795
1207,Kings,12,Nova Scotia,30310,1,0.18,IS+MS+FS,1,0.18,1,0.005,1,0.001143413917416963
1208,Hants,12,Nova Scotia,22595,1,0.21,IS+MS+FS,1,0.21,1,0.022,1,0.002368533940110812
1209,Halifax,12,Nova Scotia,242765,1,0.11,IS+MS+FS,1,0.11,1,0.015,1,0.0034157456709259194
1210,Colchester,12,Nova Scotia,25115,1,0.19,IS+MS+FS,1,0.19,1,0.008,1,0.005832337906309162
1211,Cumberland,12,Nova Scotia,13010,2,0.27,IS,2,0.27,1,0.021,0,0.0
1212,Pictou,12,Nova Scotia,19980,2,0.19,FS,1,0.19,1,0.011,2,0.04235529456453171
1213,Guysborough,12,Nova Scotia,3095,2,0.27,IS,2,0.27,1,0.018,0,0.0
1214,Antigonish,12,Nova Scotia,10165,1,0.14,IS+MS,1,0.14,1,0.008,0,0.0
1215,Inverness,12,Nova Scotia,8020,1,0.19,IS+MS,1,0.19,1,0.018,0,0.0
1216,Richmond,12,Nova Scotia,3695,4,0.27,FS,2,0.27,1,0.018,4,0.16499445211101957
1217,Cape Breton,12,Nova Scotia,43095,3,0.17,FS,1,0.17,1,0.012,3,0.06176882967837845
1218,Victoria,12,Nova Scotia,3330,1,0.18,IS+MS,1,0.18,1,0.014,0,0.0
1301,Saint John,13,New Brunswick,38590,3,0.25,FS,2,0.25,1,0.018,3,0.07750514573341492
1302,Charlotte,13,New Brunswick,12720,5,0.72,IS,5,0.72,1,0.006,1,0.005738843667692217
1303,Sunbury,13,New Brunswick,14800,1,0.1,IS+MS+FS,1,0.1,1,0.004,1,0.000998959677195481
1304,Queens,13,New Brunswick,4670,1,0.23,IS+MS+FS,1,0.23,1,0.009,1,0.0037016108224697504
1305,Kings,13,New Brunswick,36355,2,0.29,IS,2,0.29,1,0.024,1,0.0013259576248549315
1306,Albert,13,New Brunswick,16005,1,0.15,IS+MS,1,0.15,1,0.013,0,0.0
1307,Westmorland,13,New Brunswick,86715,1,0.17,IS+MS+FS,1,0.17,1,0.01,1,0.0010167659914882112
1308,Kent,13,New Brunswick,15415,3,0.33,IS,3,0.33,1,0.008,0,0.0
1309,Northumberland,13,New Brunswick,20840,1,0.23,IS+MS,1,0.23,1,0.017,0,0.0
1310,York,13,New Brunswick,56225,1,0.11,IS+MS+FS,1,0.11,1,0.004,1,0.002829413458661005
1311,Carleton,13,New Brunswick,13540,5,0.46,IS,5,0.46,1,0.018,1,0.0011620808611554725
1312,Victoria,13,New Brunswick,8345,2,0.29,IS,2,0.29,1,0.01,0,0.0
1313,Madawaska,13,New Brunswick,15425,2,0.29,IS,2,0.29,1,0.003,1,0.004620762292415701
1314,Restigouche,13,New Brunswick,13780,4,0.22,FS,1,0.22,1,0.002,4,0.09939632096863922
1315,Gloucester,13,New Brunswick,36045,2,0.25,IS,2,0.25,1,0.011,1,0.001129041561301649
2401,Communauté maritime des Îles-de-la-Madeleine,24,Quebec,6715,2,0.32,IS,2,0.32,1,0.005,1,0.013555176784357288
2402,Le Rocher-Percé,24,Quebec,7770,4,0.36,FS,3,0.36,1,0.006,4,0.14238032790954566
2403,La Côte-de-Gaspé,24,Quebec,8410,1,0.17,IS+MS,1,0.17,1,0.007,0,0.0
2404,La Haute-Gaspésie,24,Quebec,4380,1,0.17,IS+MS,1,0.17,1,0.006,0,0.0
2405,Bonaventure,24,Quebec,7930,1,0.22,IS+MS+FS,1,0.22,1,0.004,1,0.0015692978771380266
2406,Avignon,24,Quebec,6080,1,0.2,IS+MS,1,0.2,1,0.003,0,0.0
2407,La Matapédia,24,Quebec,7730,2,0.33,IS,2,0.33,1,0.003,1,0.0012089649341551357
2408,La Matanie,24,Quebec,9470,2,0.29,IS,2,0.29,1,0.013,0,0.0
2409,La Mitis,24,Quebec,7920,2,0.3,IS,2,0.3,1,0.004,0,0.0
2410,Rimouski-Neigette,24,Quebec,27935,1,0.13,IS+MS+FS,1,0.13,1,0.004,1,0.0009739524000716126
2411,Les Basques,24,Quebec,3905,2,0.32,IS,2,0.32,1,0.013,0,0.0
2412,Rivière-du-Loup,24,Quebec,17670,3,0.33,IS,3,0.33,1,0.006,0,0.0
2413,Témiscouata,24,Quebec,8610,3,0.38,IS,3,0.38,1,0.003,1,0.0012762784515214184
2414,Kamouraska,24,Quebec,10180,2,0.28,IS+MS,2,0.28,2,0.028,0,0.0
2415,Charlevoix-Est,24,Quebec,7120,1,0.2,IS+MS,1,0.2,1,0.02,0,0.0
2416,Charlevoix,24,Quebec,6220,1,0.23,IS+MS,1,0.23,1,0.017,0,0.0
2417,L'Islet,24,Quebec,8560,4,0.4,IS,4,0.4,1,0.011,0,0.0
2418,Montmagny,24,Quebec,10795,2,0.3,IS,2,0.3,1,0.01,0,0.0
2419,Bellechasse,24,Quebec,19910,3,0.35,IS,3,0.35,2,0.025,1,0.0009466861651890679
2420,L'Île-d'Orléans,24,Quebec,3530,1,0.1,IS,1,0.1,0,0.0,0,0.0
2421,La Côte-de-Beaupré,24,Quebec,15825,1,0.14,IS+MS+FS,1,0.14,1,0.005,1,0.000970874054603709
2422,La Jacques-Cartier,24,Quebec,27125,1,0.11,IS+MS+FS,1,0.11,1,0.006,1,0.0014973637289859977
2423,Québec,24,Quebec,314235,1,0.11,IS+MS+FS,1,0.11,1,0.007,1,0.00033010119379848005
2425,Lévis,24,Quebec,82795,1,0.18,IS+MS+FS,1,0.18,1,0.02,1,0.011716725996730579
2426,La Nouvelle-Beauce,24,Quebec,21205,2,0.3,IS,2,0.3,1,0.013,1,0.00036389762968371653
2427,Robert-Cliche,24,Quebec,10180,2,0.3,IS+MS,2,0.3,2,0.028,1,0.000810695040566403
2428,Les Etchemins,24,Quebec,7925,2,0.33,IS,2,0.33,1,0.016,0,0.0
