"GeoUID","Region_Name","Province","Pop_2021","Labour_Force_Tot","Median_Hhold_Inc","Label"
"1001","Division No.  1 (CDR)","10",271878,121190,78500,"Division No.  1 (CDR) (10)"
"1002","Division No.  2 (CDR)","10",19392,6685,60400,"Division No.  2 (CDR) (10)"
"1003","Division No.  3 (CDR)","10",13920,4755,62000,"Division No.  3 (CDR) (10)"
"1004","Division No.  4 (CDR)","10",19253,5690,51200,"Division No.  4 (CDR) (10)"
"1005","Division No.  5 (CDR)","10",40396,15730,67500,"Division No.  5 (CDR) (10)"
"1006","Division No.  6 (CDR)","10",37339,13975,67000,"Division No.  6 (CDR) (10)"
"1007","Division No.  7 (CDR)","10",33044,11200,60400,"Division No.  7 (CDR) (10)"
"1008","Division No.  8 (CDR)","10",33940,10145,57600,"Division No.  8 (CDR) (10)"
"1009","Division No.  9 (CDR)","10",14733,4440,65000,"Division No.  9 (CDR) (10)"
"1010","Division No. 10 (CDR)","10",24332,11715,115000,"Division No. 10 (CDR) (10)"
"1011","Division No. 11 (CDR)","10",2323,755,77500,"Division No. 11 (CDR) (10)"
"1101","Kings (CTY)","11",18327,8320,68000,"Kings (CTY) (11)"
"1102","Queens (CTY)","11",89770,44705,77000,"Queens (CTY) (11)"
"1103","Prince (CTY)","11",46234,21845,69500,"Prince (CTY) (11)"
"1201","Shelburne (CTY)","12",13704,5895,62800,"Shelburne (CTY) (12)"
"1202","Yarmouth (CTY)","12",24947,10435,62400,"Yarmouth (CTY) (12)"
"1203","Digby (CTY)","12",17062,6395,55600,"Digby (CTY) (12)"
"1204","Queens (CTY)","12",10501,3585,56800,"Queens (CTY) (12)"
"1205","Annapolis (CTY)","12",21252,8200,56800,"Annapolis (CTY) (12)"
"1206","Lunenburg (CTY)","12",48599,19610,65500,"Lunenburg (CTY) (12)"
"1207","Kings (CTY)","12",62914,26960,68000,"Kings (CTY) (12)"
"1208","Hants (CTY)","12",45140,20170,76500,"Hants (CTY) (12)"
"1209","Halifax (CTY)","12",440072,215125,81000,"Halifax (CTY) (12)"
"1210","Colchester (CTY)","12",51476,22050,66000,"Colchester (CTY) (12)"
"1211","Cumberland (CTY)","12",30538,11245,58800,"Cumberland (CTY) (12)"
"1212","Pictou (CTY)","12",43657,17280,64000,"Pictou (CTY) (12)"
"1213","Guysborough (CTY)","12",7373,2520,56000,"Guysborough (CTY) (12)"
"1214","Antigonish (CTY)","12",20129,8905,71500,"Antigonish (CTY) (12)"
"1215","Inverness (CTY)","12",17346,6605,66000,"Inverness (CTY) (12)"
"1216","Richmond (CTY)","12",8914,3090,60800,"Richmond (CTY) (12)"
"1217","Cape Breton (CTY)","12",98318,34605,62000,"Cape Breton (CTY) (12)"
"1218","Victoria (CTY)","12",7441,2520,67500,"Victoria (CTY) (12)"
"1301","Saint John (CT)","13",76558,34335,64000,"Saint John (CT) (13)"
"1302","Charlotte (CT)","13",26015,11165,67500,"Charlotte (CT) (13)"
"1303","Sunbury (CT)","13",27864,13825,85000,"Sunbury (CT) (13)"
"1304","Queens (CT)","13",10998,4055,59600,"Queens (CT) (13)"
"1305","Kings (CT)","13",71184,33270,87000,"Kings (CT) (13)"
"1306","Albert (CT)","13",30749,14530,77500,"Albert (CT) (13)"
"1307","Westmorland (CT)","13",163576,78945,73500,"Westmorland (CT) (13)"
"1308","Kent (CT)","13",32169,13295,66500,"Kent (CT) (13)"
"1309","Northumberland (CT)","13",45005,17485,64000,"Northumberland (CT) (13)"
"1310","York (CT)","13",105261,51515,77500,"York (CT) (13)"
"1311","Carleton (CT)","13",26360,12355,66000,"Carleton (CT) (13)"
"1312","Victoria (CT)","13",18312,7395,59600,"Victoria (CT) (13)"
"1313","Madawaska (CT)","13",32603,14060,62400,"Madawaska (CT) (13)"
"1314","Restigouche (CT)","13",30700,11815,57200,"Restigouche (CT) (13)"
"1315","Gloucester (CT)","13",78256,31155,60800,"Gloucester (CT) (13)"
