CD UID,CD name,Province or Territory,Labour force (2021) ,Top Score,IS,IS score,MS,MS score,FS,FS score
1001,Division No.  1,N.L.,138105,2,1,0.18,2,0.027,1,0.008219644
1002,Division No.  2,N.L.,8355,4,4,0.38,2,0.039,0,0
1003,Division No.  3,N.L.,5865,5,5,0.83,1,0.014,0,0
1004,Division No.  4,N.L.,7370,1,1,0.22,1,0.013,0,0
1005,Division No.  5,N.L.,18535,1,1,0.18,1,0.012,1,0.001847432
1006,Division No.  6,N.L.,16885,1,1,0.12,1,0.021,0,0
1007,Division No.  7,N.L.,14075,3,3,0.35,2,0.028,0,0
1008,Division No.  8,N.L.,13525,2,2,0.30,2,0.049,0,0
1009,Division No.  9,N.L.,6360,2,2,0.24,1,0.020,0,0
1010,Division No. 10,N.L.,13320,3,1,0.21,1,0.020,3,0.088508675
1011,Division No. 11,N.L.,935,1,1,0.14,1,0.011,0,0
1101,Kings,P.E.I.,9430,2,2,0.31,1,0.005,0,0
1102,Queens,P.E.I.,49295,1,1,0.18,1,0.016,1,5.00E-05
1103,Prince,P.E.I.,24775,3,3,0.33,2,0.028,1,0.003740308
1201,Shelburne,N.S.,6695,3,3,0.38,2,0.044,0,0
1202,Yarmouth,N.S.,12055,1,1,0.20,1,0.017,0,0
1203,Digby,N.S.,7580,2,2,0.31,2,0.030,0,0
1204,Queens,N.S.,4185,1,1,0.23,1,0.010,0,0
1205,Annapolis,N.S.,9345,1,1,0.23,1,0.012,0,0
1206,Lunenburg,N.S.,22230,1,1,0.20,1,0.018,1,0.000651025
1207,Kings,N.S.,30310,1,1,0.18,1,0.005,1,0.001469408
1208,Hants,N.S.,22595,1,1,0.21,1,0.022,1,0.003043817
1209,Halifax,N.S.,242765,1,1,0.11,1,0.015,1,0.004389595
1210,Colchester,N.S.,25115,1,1,0.19,1,0.008,1,0.007495172
1211,Cumberland,N.S.,13010,2,2,0.27,1,0.021,0,0
1212,Pictou,N.S.,19980,2,1,0.19,1,0.011,2,0.05443104
1213,Guysborough,N.S.,3095,2,2,0.27,1,0.018,0,0
1214,Antigonish,N.S.,10165,1,1,0.14,1,0.008,0,0
1215,Inverness,N.S.,8020,1,1,0.19,1,0.018,0,0
1216,Richmond,N.S.,3695,4,2,0.27,1,0.018,4,0.212035348
1217,Cape Breton,N.S.,43095,3,1,0.17,1,0.012,3,0.079379489
1218,Victoria,N.S.,3330,1,1,0.18,1,0.014,0,0
1301,Saint John,N.B.,38590,3,2,0.25,1,0.018,3,0.099602322
1302,Charlotte,N.B.,12720,5,5,0.72,1,0.006,1,0.007375022
1303,Sunbury,N.B.,14800,1,1,0.10,1,0.004,1,0.001283769
1304,Queens,N.B.,4670,1,1,0.23,1,0.009,1,0.004756962
1305,Kings,N.B.,36355,2,2,0.29,1,0.024,1,0.001703996
1306,Albert,N.B.,16005,1,1,0.15,1,0.013,0,0
1307,Westmorland,N.B.,86715,1,1,0.17,1,0.010,1,0.001306652
1308,Kent,N.B.,15415,3,3,0.33,1,0.008,0,0
1309,Northumberland,N.B.,20840,1,1,0.23,1,0.017,0,0
1310,York,N.B.,56225,1,1,0.11,1,0.004,1,0.003636096
1311,Carleton,N.B.,13540,5,5,0.46,1,0.018,1,0.001493397
1312,Victoria,N.B.,8345,2,2,0.29,1,0.010,0,0
1313,Madawaska,N.B.,15425,2,2,0.29,1,0.003,1,0.005938169
