GeoUID,Metric,Rank,NAICS,Share
1001,IS,1,311,1.8%
1001,IS,2,483,<1%
1001,IS,3,2111,1.1%
1001,MS,1,2111,1.1%
1001,MS,2,2131,1.0%
1001,FS,1,2211,49.3%
1001,FS,2,2111,37.0%
1002,IS,1,1125,2.1%
1002,IS,2,311,5.0%
1002,IS,3,483,<1%
1002,MS,1,2131,1.5%
1002,MS,2,336,1.5%
1003,IS,1,483,9.2%
1003,IS,2,1125,3.7%
1003,IS,3,311,4.5%
1003,MS,1,2131,<1%
1003,MS,2,336,<1%
1004,IS,1,483,1.2%
1004,IS,2,311,1.7%
1004,IS,3,1125,<1%
1004,MS,1,2131,<1%
1004,MS,2,2111,<1%
1005,IS,1,311,2.2%
1005,IS,2,322,1.6%
1005,IS,3,484,1.6%
1005,MS,1,2131,<1%
1005,MS,2,2111,<1%
1005,FS,1,3221,100.0%
1006,IS,1,484,1.4%
1006,IS,2,481,<1%
1006,IS,3,483,<1%
1006,MS,1,2131,1.1%
1006,MS,2,336,<1%
1007,IS,1,311,8.1%
1007,IS,2,3241,<1%
1007,IS,3,483,<1%
1007,MS,1,2131,<1%
1007,MS,2,3241,<1%
1008,IS,1,311,5.6%
1008,IS,2,483,<1%
1008,IS,3,484,1.4%
1008,MS,1,2131,3.9%
1008,MS,2,2111,<1%
1009,IS,1,311,5.7%
1009,IS,2,483,<1%
1009,IS,3,484,1.1%
1009,MS,1,2131,1.6%
1009,MS,2,2111,<1%
1010,IS,1,2122,17.9%
1010,IS,2,311,1.8%
1010,IS,3,481,1.1%
1010,MS,1,2131,1.3%
1010,MS,2,2111,<1%
1010,FS,1,2122,98.4%
1010,FS,2,9111,1.6%
1011,IS,1,311,3.8%
1011,IS,2,2122,7.1%
1011,IS,3,481,1.1%
1011,MS,1,2131,1.1%
1011,MS,2,2111,0
1101,IS,1,311,5.9%
1101,IS,2,1125,<1%
1101,IS,3,483,<1%
1101,MS,1,2131,<1%
1101,MS,2,336,<1%
1102,IS,1,311,1.8%
1102,IS,2,1125,<1%
1102,IS,3,325,1.2%
1102,MS,1,325,1.2%
1102,MS,2,336,<1%
1102,FS,1,2211,100.0%
1103,IS,1,311,8.7%
1103,IS,2,1125,<1%
1103,IS,3,484,1.4%
1103,MS,1,336,2.1%
1103,MS,2,325,<1%
1103,FS,1,3114,99.4%
1103,FS,2,2211,<1%
1201,IS,1,311,12.2%
1201,IS,2,1125,<1%
1201,IS,3,336,3.8%
1201,MS,1,336,3.7%
1201,MS,2,325,<1%
1202,IS,1,311,5.3%
1202,IS,2,484,<1%
1202,IS,3,1125,<1%
1202,MS,1,336,1.5%
1202,MS,2,2131,<1%
1203,IS,1,311,7.5%
1203,IS,2,1125,<1%
1203,IS,3,483,<1%
1203,MS,1,336,2.8%
1203,MS,2,2131,<1%
1204,IS,1,311,3.1%
1204,IS,2,321,2.7%
1204,IS,3,2213,<1%
1204,MS,1,2131,<1%
1204,MS,2,336,<1%
1205,IS,1,311,3.2%
1205,IS,2,484,2.1%
1205,IS,3,1114,1.3%
1205,MS,1,325,<1%
1205,MS,2,336,<1%
1206,IS,1,311,2.1%
1206,IS,2,326,5.5%
1206,IS,3,1125,<1%
1206,MS,1,336,1.5%
1206,MS,2,2111,<1%
1206,FS,1,3212,99.5%
1206,FS,2,3262,<1%
1207,IS,1,311,3.0%
1207,IS,2,484,1.9%
1207,IS,3,326,4.2%
1207,MS,1,336,<1%
1207,MS,2,325,<1%
1207,FS,1,3262,100.0%
1208,IS,1,484,1.7%
1208,IS,2,481,1.0%
1208,IS,3,3273,<1%
1208,MS,1,336,1.3%
1208,MS,2,325,<1%
1208,FS,1,5622,81.3%
1208,FS,2,3222,18.7%
1209,IS,1,2213,<1%
1209,IS,2,484,<1%
1209,IS,3,481,<1%
1209,MS,1,336,1.1%
1209,MS,2,325,<1%
1209,FS,1,2211,88.3%
1209,FS,2,5622,6.3%
1210,IS,1,311,1.6%
1210,IS,2,484,1.7%
1210,IS,3,326,2.9%
1210,MS,1,336,<1%
1210,MS,2,2131,<1%
1210,FS,1,3273,100.0%
1211,IS,1,311,4.7%
1211,IS,2,484,1.4%
1211,IS,3,2213,<1%
1211,MS,1,336,1.2%
1211,MS,2,2131,<1%
1212,IS,1,484,2.2%
1212,IS,2,326,3.9%
1212,IS,3,311,<1%
1212,MS,1,336,<1%
1212,MS,2,2111,<1%
1212,FS,1,2211,98.1%
1212,FS,2,3262,1.9%
1213,IS,1,311,4.9%
1213,IS,2,2213,<1%
1213,IS,3,483,<1%
1213,MS,1,2131,<1%
1213,MS,2,2111,<1%
1214,IS,1,311,<1%
1214,IS,2,483,<1%
1214,IS,3,237,3.2%
1214,MS,1,2111,<1%
1214,MS,2,2131,<1%
1215,IS,1,322,2.1%
1215,IS,2,311,1.3%
1215,IS,3,483,<1%
1215,MS,1,2131,<1%
1215,MS,2,336,<1%
1216,IS,1,311,4.6%
1216,IS,2,322,2.5%
1216,IS,3,484,1.6%
1216,MS,1,336,<1%
1216,MS,2,2111,<1%
1216,FS,1,2211,100.0%
1217,IS,1,483,<1%
1217,IS,2,311,1.2%
1217,IS,3,484,1.0%
1217,MS,1,2111,<1%
1217,MS,2,2131,<1%
1217,FS,1,2211,95.0%
1217,FS,2,2121,5.0%
1218,IS,1,311,3.2%
1218,IS,2,2213,<1%
1218,IS,3,483,<1%
1218,MS,1,2111,<1%
1218,MS,2,2131,<1%
1301,IS,1,3241,1.4%
1301,IS,2,2211FF,1.5%
1301,IS,3,1125,<1%
1301,MS,1,3241,1.4%
1301,MS,2,2111,<1%
1301,FS,1,3241,74.1%
1301,FS,2,2211,18.8%
1302,IS,1,1125,4.8%
1302,IS,2,311,9.6%
1302,IS,3,483,<1%
1302,MS,1,3241,<1%
1302,MS,2,336,<1%
1302,FS,1,5622,64.9%
1302,FS,2,3221,17.9%
1303,IS,1,484,1.4%
1303,IS,2,321,1.6%
1303,IS,3,562,<1%
1303,MS,1,2111,<1%
1303,MS,2,2131,<1%
1303,FS,1,9111,100.0%
1304,IS,1,321,5.9%
1304,IS,2,484,2.6%
1304,IS,3,3241,<1%
1304,MS,1,2111,<1%
1304,MS,2,3241,<1%
1304,FS,1,3211,100.0%
1305,IS,1,3241,1.7%
1305,IS,2,311,1.2%
1305,IS,3,322,1.7%
1305,MS,1,3241,1.7%
1305,MS,2,2111,<1%
1305,FS,1,3274,100.0%
1306,IS,1,484,3.0%
1306,IS,2,311,<1%
1306,IS,3,1114,<1%
1306,MS,1,2111,<1%
1306,MS,2,2131,<1%
1307,IS,1,311,2.0%
1307,IS,2,484,2.3%
1307,IS,3,322,<1%
1307,MS,1,2111,<1%
1307,MS,2,325,<1%
1307,FS,1,5622,100.0%
1308,IS,1,311,5.3%
1308,IS,2,1125,<1%
